Area,Floor,TotalFloor,Bedroom,Living Room,Bathroom,Price
33.1,2,7,2,2,2,62000
60,5,7,4,2,2,78000
32,5,7,2,2,1,58000
41,2,7,3,2,2,45000
27.2,11,14,3,2,2,45000
31.7,11,12,4,2,2,148000
38,5,7,3,2,1,58000
21.3,5,14,1,0,1,48000
32.4,10,12,3,2,2,45000
40,4,5,4,2,2,65000
18.8,4,11,1,1,1,31000
20,4,7,2,1,1,29002
38,9,19,4,2,2,39000
23,4,13,2,2,1,48000
60,10,19,3,2,2,55000
77.8,6,19,3,2,2,100000
20,5,13,2,2,1,48000
13,5,13,1,1,1,25000
77,6,19,3,2,2,90000
33,3,9,3,2,1,33000
70,19,21,5,3,4,140000
77.8,6,19,3,2,2,100000
21,7,15,2,2,1,55000
46.9,4,12,3,2,2,105000
103,19,19,3,2,3,200000
50,10,12,4,2,2,98000
103,19,19,3,2,3,200000
86,21,24,4,2,3,145000
15,3,4,1,1,1,25000
24,6,7,2,1,1,24028
48.7,8,12,4,2,2,65000
35,10,12,3,0,0,85000
60,10,19,3,2,2,55000
33.9,7,7,2,2,1,57000
24.2,5,12,2,2,1,46000
13,3,4,1,1,1,52000
12.2,5,12,2,2,1,43500
21.6,4,4,3,2,2,60000
105,19,19,3,2,3,200000
25,6,7,3,2,1,36000
86.1,21,24,5,2,4,145000
26,10,14,2,1,1,48000
33,2,14,3,2,2,36000
38,1,4,4,2,2,65000
49.8,7,15,4,2,2,70000
45,6,7,4,2,2,50000
41.8,2,6,2,2,2,47999
64,2,25,3,2,2,80000
105,19,19,3,2,3,200000
20,4,7,2,1,1,24030
63,7,13,4,2,2,76000
42,1,5,2,2,2,70000
20,2,3,2,2,1,32500
25,2,6,2,2,1,30032
130.5,1,6,5,4,4,180000
61.6,2,7,3,2,2,80000
18,5,7,1,1,1,36000
30,12,12,3,2,2,36000
18,2,6,2,2,1,29032
38.3,1,7,3,2,2,43000
17,6,10,2,1,1,30000
25,2,4,4,1,1,32000
40,5,7,3,2,2,45000
33.3,2,9,3,2,2,49000
11,5,7,1,1,1,27500
12,5,13,1,1,1,23000
30,4,5,3,2,1,33500
15,2,7,2,1,1,26000
13,6,14,1,1,1,27500
35.7,6,8,3,2,2,50000
25,8,12,2,1,1,25000
36.1,6,12,3,2,2,41000
53.2,2,7,4,2,3,90000
28,2,4,3,2,1,26000
20,4,7,2,2,1,38000
49.3,3,7,3,2,2,75000
58,7,24,3,2,1,56000
42.8,5,12,4,2,2,40000
43.3,6,14,4,2,2,89900
25.7,2,4,2,2,1,37000
43.8,5,7,4,2,2,48800
21.7,6,7,2,1,1,39000
20,8,9,2,2,1,45000
21,5,9,2,2,2,50000
34.5,5,12,3,1,2,45000
40.8,2,5,3,3,2,46000
91.5,4,7,4,2,4,130000
50,7,12,4,2,2,60000
53.2,2,7,4,2,3,78000
65,7,15,4,2,2,70000
56,5,12,3,2,2,70000
58,5,7,4,2,2,70000
43,2,7,2,2,2,49800
