"","bedroom","living_room","bathroom","building_floor","total_floor","area","houseage","price"
"2",3,2,2,2,7,49.25,40,4978
"3",1,1,1,3,7,10.5,0,1418
"4",7,6,6,6,6,52.4,32,4588
"5",2,2,1,5,6,34.65,8,3588
"7",1,1,1,2,5,12.98,8,1488
"8",4,2,3,7,7,37.5,34,4968
"9",3,2,2,6,9,30.4,6,3550
"10",1,1,1,2,6,11.8,30,1298
"11",4,2,2,11,15,70.05,5,13650
"12",2,1,1,4,13,20.62,22,1458
"13",4,2,3,2,11,101.63,5,11500
"14",2,1,1,6,6,28.85,47,2480
"15",1,1,1,14,14,22.32,10,3288
"16",3,2,2,9,14,44.57,0,4680
"17",2,2,2,4,12,56.19,38,6180
"18",3,2,2,2,7,49.25,39,4980
"19",3,2,2,9,11,36.67,41,3200
"20",1,1,1,2,6,19.61,22,2080
"21",5,2,2,3,15,72.99,43,9300
"22",2,1,1,14,14,44.27,16,2780
"23",3,2,2,3,7,33.52,38,3350
"24",4,2,2,10,12,44.78,47,6000
"25",NA,NA,NA,3,12,66.88,27,4800
"26",5,2,4,2,9,105.95,14,16500
"27",4,3,3,2,13,151.98,9,15588
"28",2,3,3,2,7,39.4,35,3900
"29",4,3,4,5,6,41.06,40,3580
"30",5,3,2,9,9,51.88,15,5600
"31",3,2,2,9,12,34.45,36,2400
"32",3,2,2,8,12,44.57,30,5705
"33",3,2,2,3,15,60.06,38,4688
"34",2,2,1,3,7,20.15,49,1988
"35",2,2,1,4,12,17.5,48,1968
"36",4,2,2,2,7,85.5,29,8180
"37",3,2,2,5,7,34.16,37,2250
"38",3,2,2,6,7,33.79,36,2980
"39",2,2,1,4,12,17.5,47,1980
"40",2,2,2,10,12,27.6,34,2588
"41",3,2,2,5,7,38.18,41,4380
"42",3,2,2,10,14,60.1,11,3900
"43",2,2,1,4,12,25.06,8,2672
"44",3,2,2,7,12,65.24,1,7980
"45",3,2,2,11,16,126.46,13,15800
"46",5,3,5,3,13,328.83,21,30000
"47",4,2,2,12,14,70.04,18,7580
"48",3,2,2,14,18,60.92,21,6800
"49",2,3,2,5,12,44.01,40,4988
"50",4,2,3,2,11,101.63,5,11500
"51",4,2,3,6,25,111.52,29,8988
"52",3,2,2,2,7,43.9,37,4188
"53",3,2,2,7,7,41.82,42,3980
"54",4,2,3,15,23,113.23,2,13528
"55",3,2,2,3,7,41.26,45,4288
"56",3,2,2,5,14,84.81,31,9500
"57",2,2,1,10,14,26,127,2800
"58",5,5,5,2,7,57.6,38,4750
"59",4,2,2,2,7,53.68,45,5314
"60",3,2,2,6,7,38.72,35,3580
"61",3,2,3,7,17,71.93,28,6980
"62",4,2,2,7,17,80.8,30,11800
"63",3,2,2,5,7,32.18,41,3480
"64",2,2,2,4,14,56.19,38,6498
"65",2,2,1,8,13,36.72,8,2680
"66",1,1,1,2,6,11.8,31,1298
"67",2,2,2,6,7,29.15,39,2780
"68",3,2,2,3,7,38.82,40,3380
"69",1,1,1,4,12,15.5,41,1980
"70",4,2,2,10,25,80.66,29,8200
"71",1,1,1,2,13,17.8,6,2980
"72",4,4,4,6,6,32.41,33,4200
"73",1,1,1,6,10,10.73,11,1450
"74",NA,NA,NA,13,14,103.09,5,12880
"75",3,2,2,2,10,70.56,6,6600
"76",3,2,2,5,6,42.09,39,3499
"77",4,2,2,5,12,48.7,39,6280
"78",3,2,2,6,7,37.04,41,3880
"79",3,2,2,6,7,63.02,8,5288
"80",5,2,5,10,38,189.68,3,28500
"81",4,2,2,1,6,61.55,17,6800
"82",2,2,1,19,26,27.35,28,2688
"83",1,1,1,5,14,11.93,38,1268
"84",2,2,2,2,6,22.86,35,1998
"85",2,2,4,6,7,81.39,7,7880
"86",2,2,2,6,7,29.15,40,2780
"87",4,2,2,3,12,47.22,36,4180
"88",4,2,2,4,7,43.11,39,4199
"89",3,2,2,2,7,70.96,4,6398
"90",4,2,2,4,12,50.51,32,6600
"91",NA,NA,NA,2,6,87.65,44,15500
"92",3,2,2,5,7,26.74,34,2650
"93",1,1,1,3,7,21.52,2,1980
"94",1,1,1,6,7,21.51,2,2198
"95",NA,NA,NA,9,12,27.8,35,3136
"96",4,2,2,11,16,47.98,36,4088
"97",6,3,2,1,6,52.12,30,4960
"98",4,2,2,4,7,59.09,33,3980
"99",3,2,2,2,7,39.63,37,3980
"100",3,2,2,11,12,42.32,37,4280
"101",4,2,3,8,23,120.74,2,12800
"102",4,2,2,8,27,60.08,27,4850
"103",4,2,2,12,19,84.78,37,8690
"104",4,2,2,2,12,41.4,37,3588
"105",2,2,1,2,7,22.6,46,2188
"106",3,2,2,3,7,33.52,37,3350
"107",5,2,4,2,14,136.02,40,16800
"108",3,2,2,2,7,37.01,34,2800
"109",2,1,1,2,7,16.75,0,1728
"110",3,2,2,6,7,50.79,44,5500
"111",3,2,2,6,7,28.6,41,2580
"112",4,2,3,6,25,111.52,29,9800
"113",3,2,3,19,23,97.31,2,12988
"114",4,2,2,1,7,34.9,36,5250
"115",2,2,1,4,6,18.19,23,2150
"116",3,2,2,13,38,60.39,3,7088
"117",3,2,2,2,7,37.01,34,2800
"118",2,2,1,4,6,20.67,23,2150
"119",NA,NA,NA,7,14,97.19,5,11800
"120",3,2,2,8,12,44.57,33,5705
"121",1,1,1,2,5,12.97,8,1550
"122",3,2,2,10,14,60.1,12,3900
"123",4,2,2,4,7,57.88,37,4980
"124",4,2,3,6,25,111.52,29,9800
"125",3,2,2,7,10,66.62,23,7980
"126",3,2,2,4,7,36.95,40,3298
"127",3,2,3,10,23,89.8,2,10588
"128",4,2,2,1,7,34.9,36,5250
"129",2,1,1,2,11,21.76,12,2917
"130",3,2,3,6,7,53.72,40,3500
"131",1,1,1,12,14,8.04,39,990
"132",2,2,1,3,7,20.14,40,1988
"133",3,1,1,3,7,20.14,40,1988
"134",3,2,2,10,14,45.9,4,5300
"135",3,1,1,3,5,21.86,20,2380
"136",3,2,2,3,7,41.38,41,4180
"137",1,1,1,3,5,18.29,26,1980
"138",4,2,3,2,7,60.48,39,5980
"139",3,2,2,6,6,30.65,36,3980
"140",4,2,2,5,12,48.7,39,6280
"141",2,2,1,6,12,24,47,3330
"142",3,2,2,11,14,59.27,3,7180
"143",2,2,2,3,7,28.06,32,1958
"144",3,2,2,3,12,41,31,2980
"145",3,1,1,3,7,20.14,49,1988
"146",4,2,2,5,7,58.16,8,5998
"147",4,2,3,15,23,120.74,2,13228
"148",4,2,2,2,7,76.46,28,8180
"149",1,1,1,25,26,14.54,28,1380
"150",2,1,1,10,11,10.17,18,1390
"151",3,2,2,3,15,72.99,3,8760
"152",3,2,1,9,11,20.98,19,2500
"153",2,2,1,19,26,27.35,28,2688
"154",NA,NA,NA,1,7,26.5,42,9800
"155",1,1,1,8,14,10.65,9,1270
"156",3,2,2,6,7,39.95,45,4500
"157",3,2,2,2,12,31.89,35,2880
"158",3,2,2,6,7,39.95,45,4500
"159",2,2,2,5,6,37.84,2,4250
"160",4,2,2,4,7,53.94,45,5388
"161",2,2,1,7,7,15.52,39,1699
"162",1,1,1,4,6,13.73,22,1720
"163",1,1,1,5,11,10.78,11,1730
"164",1,1,1,3,7,17.64,9,1799
"165",4,2,3,2,11,101.63,5,11500
"166",1,1,1,4,6,18.16,17,2280
"167",3,2,2,7,12,39.67,34,4200
"168",1,1,1,4,6,13.73,22,1720
"169",3,2,2,5,7,62.8,13,7888
"170",3,2,3,13,13,61.35,28,6880
"171",3,2,3,2,7,43.62,37,3950
"172",3,2,2,3,15,75,28,10500
"173",4,2,2,8,12,42.95,37,3998
"174",3,2,2,10,12,41.93,43,4468
"175",3,2,2,5,7,39.3,38,3150
"176",3,2,2,8,12,61.04,47,7280
"177",2,2,1,4,14,20.65,40,2188
"178",3,2,2,10,16,54.39,23,4800
"179",2,2,2,11,12,28.5,36,2560
"180",2,2,2,3,14,33.45,31,2858
"181",4,2,3,8,15,82.3,2,9680
"182",2,1,1,2,7,24.17,4,2160
"183",2,2,1,7,7,15.52,40,1699
"184",1,1,1,7,12,17.67,40,1766
"185",2,1,1,5,12,20.19,40,1990
"186",4,2,2,4,12,50.51,31,6600
"187",3,2,2,2,7,39.63,38,3980
"188",1,1,1,7,12,17.67,40,1766
"189",2,2,2,7,7,38.01,30,5980
"190",3,2,2,16,16,57.26,33,4380
"191",3,2,2,7,12,65.24,1,7980
"192",NA,NA,NA,6,7,12.51,22,1125
"193",2,1,1,6,6,28.85,47,2580
"194",4,2,2,5,7,58.16,9,5998
"195",7,3,5,14,14,111.67,13,14800
"196",2,2,3,2,6,39.4,35,3900
"197",3,2,2,4,7,36.95,41,3298
"198",2,2,2,3,7,28.06,32,1958
"199",3,2,2,7,7,41.05,44,3980
"200",3,1,1,3,5,21.86,18,2380
"201",NA,NA,NA,7,14,97.19,6,11800
"202",1,2,3,4,38,155.08,4,21800
"203",4,2,3,12,23,97.31,2,12138
"204",4,2,3,15,23,98.23,3,13228
"205",3,2,2,2,6,38.97,41,3730
"206",3,2,2,5,7,26.73,35,2650
"207",3,2,2,9,12,48.12,38,3480
"208",4,2,2,2,7,53.68,45,5314
"209",4,2,2,9,15,51.89,28,4300
"210",3,2,2,4,14,45.07,39,4498
"211",3,2,2,5,7,26.74,35,2650
