"id","created_time","message"
"449664581882455_549605238555055","2016-05-06T06:10:46+0000","【宏國大鎮母親節特別活動】 片名：不老騎士--歐兜邁環台日記 時間：5月7日（六）下午2點30分～4點25分 地點：新北市汐止區大同路二段285號活動中心 流程： 14:30～14:35 主辦單位代表致詞 14:35～16:05 紀錄片放映 16:05～16:25 觀眾分享、提問&弘道基金會宣傳不老夢想聯合招募 16:25之後為宏國住戶社區卡拉OK歡唱活動 主辦單位：宏國大鎮社區管理委員會、立法委員黃國昌汐止服務處 公益夥伴：弘道老人福利基金會"
"449664581882455_549284871920425","2016-05-05T11:31:47+0000","【交通委員會考察】@汐止 2016-05-05 上週五(29日)在汐止舉行的「改善汐止交通」公聽會，現場湧進兩百多位民眾參與且發言相當踴躍，可以想見汐止交通的堵塞與不便，不只讓當地居民叫苦連天，也是通勤族在生活上的一大難題。 為了盡快改善汐止聯外道路的塞車問題，今天上午由立法院交通委員會主辦赴汐止實地勘查，除了現勘「中山高汐止交流道增設南入匝道」，並前往福德三路水門勘查「增設聯外橋樑」的可能性。交通部長陳建宇、高工局、公路總局以及雙北市政府亦派代表參與討論。 儘管高工局與新北市政府對於「汐止交流道增設南入匝道」持有不同意見，但此案從規劃迄今已經過了十多年，應盡速釐清相關問題或提出替代方案。汐止地區長久以來，僅靠「康寧街連接東湖」及「台五線連接南港」，上下班時間壅塞狀況日益嚴重，身為台北市共同生活圈的一部分，汐止需要新增一個連結台北的橋樑做為交通管道，未來將持續協調雙北市政府共同合作，推動增設聯外橋樑。針對捷運民生汐止線部分，也會積極爭取。希望在最短的時間內落實並舒緩汐止塞車問題，別再空轉停擺原地踏步。 特別感謝葉宜津委員、鄭寶清委員以及鄭運鵬委員一同參與汐止考察行程。緩解汐止交通壅塞，不分中央與地方，我們一起努力！"
"449664581882455_548778491971063","2016-05-04T10:24:45+0000","【退輔會存在必要性？】@財政暨外交國防聯席會議 2016-05-04 立法委員黃國昌： 監察院多次通過糾正案文指出，一年掌握上千億預算的「退輔會」不僅有嚴重利益衝突、效能不足、浪費大量公帑、資金管理不透明、違規情事層出不窮以及濫用缺乏專業經理人等情事，如何安定榮民生活？ 時代力量近期將正式提出退輔會、僑委會及蒙藏委員會的整併方案，這也是時代力量重要的修法方向！ ◆感謝網友提供逐字稿 http://goo.gl/Bo9CSy ◆相關新聞： →這些部門浪費公帑 時代力量想整併僑委會、退輔會(自由) http://goo.gl/3YvNfV →時代力量：半個月內提案整併僑委會、退輔會(蘋果) http://goo.gl/6lkvHT →時代力量將提案 整併退輔會、僑委會、蒙藏委員會(風傳媒) http://goo.gl/xXOM6O"
"449664581882455_548345828680996","2016-05-03T06:20:39+0000","立法委員黃國昌：「受僱醫師納入勞基法適用範圍並非新議題，希望透過國會決議要求行政部門將受醫師納入勞基法，讓所有辛苦的醫生們都能受到完整的法律保障，從制度面來落實公平正義，不僅保障醫師與病患權益與安全，更能提升醫病關係。」 （此議題從11分44秒開始）"
"449664581882455_548026345379611","2016-05-02T11:32:03+0000","【課綱微調法律位階？】教育文化委員會 2016-05-02 根據「高等行政法院」與「最高行政法院」的資料顯示，法院認定課綱屬於「法規命令」，但教育部卻堅稱課綱微調為「行政規則」，就是想規避將課綱送往立院審議，難道教育部的解釋權是專屬的？ ◆補充稍早貼文質詢教育部之影片。 ◆感謝網友提供逐字稿 http://goo.gl/Res4hf"
"449664581882455_547998292049083","2016-05-02T09:53:00+0000","【教文及財委會質詢】2016-05-02 立法委員黃國昌：根據「高等行政法院」與「最高行政法院」的資料顯示，法院認定課綱屬於「法規命令」，但教育部卻堅稱課綱微調為「行政規則」，就是想規避將課綱送往立院審議，難道教育部的解釋權是專屬的？ 而針對前中研院技轉利益揭露表二等親漏列子女問題，台大的技轉利益揭露表同樣在二等親部分漏列子女，呼籲教育部應檢視所有學校技轉利益揭露表是否有漏列情形。 另外有關銀行涉及不當搭售案件檢舉多，懲處件數卻很少，金管會對於認定的一致性也需要再檢討。 ◆課綱微調法律位階│相關新聞： →戰神來了！課綱屬行政規則？黃國昌打臉教部(蘋果) http://goo.gl/kS234L →課綱微調是行政規則？黃國昌打臉教育部(風傳媒) http://goo.gl/DI3CEX →教育部堅稱課綱為「行政規則」 戰神拿法院裁定打臉(自由) http://goo.gl/kecmRB →黃國昌批教部 課綱自己說了算(聯合) http://goo.gl/jaCqvF ◆大學技轉利益揭露表│相關新聞： →黃國昌：台大技轉利益揭露表也漏列子女(中央社) http://goo.gl/FsZv7m ◆財委會質詢│相關新聞： →金融消費評議中心面對財團軟趴趴 立委批：拿人錢軟(自由) http://goo.gl/G0yBkj"
"449664581882455_547632118752367","2016-05-01T09:27:53+0000","今天是五一勞工節，勞工朋友在台灣經濟發展上，始終扮演著不可或缺的角色。時代力量日前針對廣大的勞工朋友提出「最低工資法草案」以及「醫師納入勞基法適用範圍」提案，就是希望透過立法，從制度面來落實公平正義。 雖然「醫師納入勞基法適用範圍」之提案在本週五(29)院會表決前，遭到中國國民黨杯葛，我們仍會繼續努力，讓所有辛苦的醫生們都能受到完整的法律保障，提升醫病關係。 不只醫師權益要受到制度性的保障，護理人員也不例外。雖然馬政府曾多次公開承諾達成「護病比」1比7的願景，但現實狀況卻是高達1比12，甚至有「護病比」1比13的誇張情況發生，不僅護理人員犧牲了自己的健康，也讓過勞情況日益惡化。 為了改善護理人員人力不足的問題，我們主張將「護病比」納入護理人員法的規範，使護理人員獲得制度性的保障後，才能真正解決醫護血汗的問題，更能保障病患的權益。 維護醫護人員的勞工權利，我們並肩同行！ （照片來源：蘋果日報）"
"449664581882455_547323208783258","2016-04-30T13:03:53+0000","平均每天超過一萬兩千人次使用的台鐵汐科站，自2007年底啟用以來，不只在汐止居民的生活上扮演著舉足輕重的角色，也是在汐科工作的大量通勤族不可或缺的重要交通工具之一。 但造型新穎、設計感十足的汐科站，過去曾發生不少因遮雨棚漏雨、地面濕滑，讓民眾險摔倒的案例。雨天時，一下車的旅客得速速撐傘，候車的民眾也需要打傘，就是因為「遮雨棚面積不足」；加上「月台狹小」，使用人次卻很高，列車進站時可能會危害人身安全。 了解汐科站的問題後，我們主動向台鐵爭取預算，辦理「汐科站月台加寬工程」，就是要解決「月台狹小」及「遮雨棚面積不足」的問題，預定在七月上旬上網招標，未來也將持續追蹤工程施作進度。 打造更安全舒適的汐科站，我們一起努力。"
"449664581882455_546793208836258","2016-04-29T02:10:08+0000","【反低薪，要立法 Fight for 26K!】 每一個勞工，都應該享有尊嚴與品質的生活，這是政府的基本義務。 最低工資立專法，我們繼續努力。"
"449664581882455_546541985528047","2016-04-28T09:36:42+0000","【德翔台北油污清理賠償記者會】 會後新聞稿 2016-04-28 德翔台北號貨輪擱淺石門外海事件發生迄今超過一個月，重油外洩卻還是清不完， 時代力量立法委員黃國昌以及民進黨立法委員劉建國今(28)上午針對此議題於立法院會議室召開記者會，現場超過百位來自北海岸漁民針對油污清理及賠償提出陳情訴求，農委會漁業署、環保署和交通部亦派員到場說明。 立法委員黃國昌表示，重油外洩問題嚴重，政府應該先成立專責窗口，隨時掌握油污處理的進度，還要想想該怎麼預防二次汙染，因為受到影響的不只有海上捕魚的漁民，就連北海岸周遭餐飲業者及商家等都身受其害，損失慘重；黃國昌說，中央機關應出面代位求償，不該把風險留給漁民，也要高度重視未來周遭海洋復育的工作，漁業資產才可以永續保存。 立法委員劉建國則建議，政府應該先成立一個專責的窗口來研擬漁民賠償等相關議題，界定出理賠的範圍和金額，不該讓漁民自己面對這些問題。金山萬里地區陳情漁民代表簡文隆說，德翔台北號的油污污染，已經嚴重影響了今年蹦火船的漁獲，往年四艘蹦火船的漁獲量都能達到七八百噸，今年卻還捕不到任何漁獲，也對蹦火船的文化保存提出訴求。富基石門漁港陳情漁民代表郭錦標先質疑油污到底何時能清完？就算出海抓到魚，也因為漁獲受到油污污染嚴重，沒有消費者敢買，漁民生計受到影響，對於油污到底何時能清完，希望政府能給一個明確的答案。 農委會漁業署漁政組組長施俊毅表示，已委託金山區漁會作為政府與漁民的溝通窗口，漁船及漁具倘若受到損壞，應先蒐集相關資料再辦理後續求償。但現場百位漁民隨即表達應由中央政府機關擔任溝通窗口，並對漁船、漁具的損壞協助求償之外，更應對損失的漁獲量一併求償。針對黃國昌委員要求漁業署應盡速成立專線，第一線協助漁民求償的準備及疑問的解答，漁業署則當場允諾。 立法委員黃國昌表示，對於海洋生態及周遭漁民商家的影響，未來將持續和劉委員及其他立法委員持續合作；接下來會要求行政院長張善政成立單一窗口，並為北海岸漁民及受害鄉親採取更積極的作為。"
"449664581882455_545326678982911","2016-04-25T09:01:00+0000","【質詢台鐵局長周永暉 】交通委員會 2016-04-25 汐止鐵路高架化從1995年開始進行可行性及環境影響的評估，直到2006年才通車營運，但汐止城市的風貌卻早已產生相當大的變化，當時規劃和設計，並沒有全然跟上都市發展的進度，尤其在晚間九點過後，經過汐止及汐科兩站共34班次的南北列車，也對周遭居民的生活安寧造成莫大的影響跟衝擊。 主要原因就是目前鐵路隔音牆較矮，對高樓層住戶無法有效隔音，呼籲台鐵應從目前基座可承受之範圍中，設計有效減噪的隔音牆，而不是停留在目前原始設計較短的隔音牆，才能讓附近民眾的居家生活安寧獲得實際的改善！"
