,Time,Action,User,Product,Quantity,Price
0,2015-07-01 00:00:01,order,U312622727,P0006944501,1,1069.0
1,2015-07-01 00:00:03,order,U239012343,P0006018073,1,1680.0
2,2015-07-01 00:00:19,order,U10007697373,P0002267974,1,285.0
3,2015-07-01 00:01:10,order,U296328517,P0016144236,1,550.0
4,2015-07-01 00:01:36,order,U300884570,P0014516980122,1,249.0
5,2015-07-01 00:01:48,order,U451050374,P0004134266,1,1780.0
6,2015-07-01 00:01:58,order,U465124055,P0012662252,1,488.0
7,2015-07-01 00:02:18,order,U403001364,P0004401294,1,276.0
8,2015-07-01 00:03:12,order,U465123247,P0000319874,1,2199.0
9,2015-07-01 00:03:45,order,U311808547,P0006944501,1,1069.0
10,2015-07-01 00:04:40,order,U178630660,P0003248055,1,799.0
11,2015-07-01 00:05:03,order,U339736346,P0018924850,2,792.0
12,2015-07-01 00:05:25,order,U465125772,P0013850723,1,2980.0
13,2015-07-01 00:05:31,order,U465125671,P0003448524,2,390.0
14,2015-07-01 00:08:06,order,U46498056,P0002689481,1,702.0
15,2015-07-01 00:08:28,order,U349686362,P0005667605,1,488.0
16,2015-07-01 00:09:31,order,U234579365,P0024026973,1,198.0
17,2015-07-01 00:10:18,order,U438707274,P0023733533,1,1710.0
18,2015-07-01 00:10:37,order,U438707274,P0023733533,1,1710.0
19,2015-07-01 00:11:49,order,U328995856,P0006696550,1,12690.0
20,2015-07-01 00:12:04,order,U10027991442,P0013856113,1,1653.0
21,2015-07-01 00:12:05,order,U464930444,P0018645756,1,1180.0
22,2015-07-01 00:13:13,order,U42380052,P0014555450,1,472.0
23,2015-07-01 00:13:22,order,U328910550,P0006304712,1,399.0
24,2015-07-01 00:14:43,order,U440888317,P0022827254,1,599.0
25,2015-07-01 00:14:49,order,U357130444,P0019464034,1,2990.0
26,2015-07-01 00:14:51,order,U465125065,P0022588156,1,1782.0
27,2015-07-01 00:14:59,order,U139098153,P0014252055,1,1636.0
28,2015-07-01 00:15:11,order,U10010660863,P0002762395,1,1780.0
29,2015-07-01 00:15:52,order,U415086728,P0018282261,1,990.0
30,2015-07-01 00:16:18,order,U226050617,P0012677372,1,399.0
31,2015-07-01 00:17:38,order,U33080036,P0009922054,1,2990.0
32,2015-07-01 00:18:10,order,U46512620,P0022827254,1,599.0
33,2015-07-01 00:18:10,order,U383410443,P0007174860,1,799.0
34,2015-07-01 00:18:37,order,U46513478,P0023728806,2,899.0
35,2015-07-01 00:19:49,order,U465140465,P0022810650015,1,850.0
36,2015-07-01 00:19:52,order,U395982321,P0018435450051,1,199.0
37,2015-07-01 00:20:08,order,U139098153,P0014252055,1,1636.0
38,2015-07-01 00:20:08,order,U321034864,P0013018320,1,25235.0
39,2015-07-01 00:22:07,order,U34197240,P0020100172,2,199.0
40,2015-07-01 00:22:51,order,U10070718237,P0009871690006,1,799.0
41,2015-07-01 00:23:51,order,U321151374,P0002105692,1,1180.0
42,2015-07-01 00:26:13,order,U46514237,P0014302110001,1,1588.0
43,2015-07-01 00:26:42,order,U464662661,P0018979656,1,928.0
44,2015-07-01 00:27:12,order,U44921030,P0004134266,1,1780.0
45,2015-07-01 00:27:21,order,U347191057,P0018639703,1,1099.0
46,2015-07-01 00:29:09,order,U356530349,P0005720470011,1,229.0
47,2015-07-01 00:29:48,order,U139098153,P0024126281,1,3689.0
48,2015-07-01 00:30:02,order,U465126075,P0023532736,1,999.0
49,2015-07-01 00:32:17,order,U355550631,P0018290060040,1,199.0
50,2015-07-01 00:35:56,order,U337977312,P0003594673,1,529.0
51,2015-07-01 00:36:35,order,U393805241,P0005541530035,1,390.0
52,2015-07-01 00:36:40,order,U463790339,P0023257660020,1,1584.0
53,2015-07-01 00:36:54,order,U270265330,P0000270281,1,1010.0
54,2015-07-01 00:36:59,order,U461270318,P0018504861,1,2299.0
55,2015-07-01 00:37:36,order,U331242337,P0007389933,1,2700.0
56,2015-07-01 00:38:05,order,U426039461,P0018904070032,1,2057.0
57,2015-07-01 00:38:12,order,U384336261,P0003921374,1,945.0
58,2015-07-01 00:38:32,order,U465116052,P0018515960002,1,1050.0
59,2015-07-01 00:38:57,order,U462286314,P0005924494,1,838.0
60,2015-07-01 00:39:22,order,U465146448,P0006173160,3,1076.0
61,2015-07-01 00:40:04,order,U465146549,P0013371621,1,10799.0
62,2015-07-01 00:41:02,order,U465148367,P0013830520001,1,549.0
63,2015-07-01 00:42:40,order,U18122005,P0000698795,2,699.0
64,2015-07-01 00:43:36,order,U437700416,P0013294770016,1,699.0
65,2015-07-01 00:44:17,order,U461572436,P0021949443,1,899.0
66,2015-07-01 00:45:37,order,U460602034,P0019801051,1,599.0
67,2015-07-01 00:45:43,order,U325164815,P0023631683,1,499.0
68,2015-07-01 00:45:43,order,U180944017,P0014560652,1,849.0
69,2015-07-01 00:45:58,order,U465147155,P0001990866,1,645.0
70,2015-07-01 00:47:50,order,U461572436,P0021949443,1,899.0
71,2015-07-01 00:48:16,order,U465144630,P0002666910013,1,2518.0
72,2015-07-01 00:48:25,order,U340850321,P0022498652,1,13500.0
73,2015-07-01 00:48:38,order,U233982425,P0018786680010,1,990.0
74,2015-07-01 00:48:53,order,U462284573,P0010849974,1,999.0
75,2015-07-01 00:48:59,order,U330273854,P0007389933,1,2700.0
76,2015-07-01 00:49:19,order,U461572436,P0021949443,1,899.0
77,2015-07-01 00:50:42,order,U139098153,P0007264320,1,549.0
78,2015-07-01 00:50:53,order,U461572436,P0021949443,1,899.0
79,2015-07-01 00:52:24,order,U10104324370,P0003770163,1,199.0
80,2015-07-01 00:53:18,order,U403148472,P0004134266,1,1780.0
81,2015-07-01 00:53:20,order,U12470953,P0023602121,1,466.0
82,2015-07-01 00:54:01,order,U10120158826,P0022360601,1,699.0
83,2015-07-01 00:54:04,order,U233982425,P0009677566,1,699.0
84,2015-07-01 00:54:14,order,U356648475,P0023467990,1,1499.0
85,2015-07-01 00:54:45,order,U46514248,P0022163930025,1,672.0
86,2015-07-01 00:56:32,order,U437095853,P0007059146,1,749.0
87,2015-07-01 00:57:15,order,U163917273,P0023731514,1,899.0
88,2015-07-01 00:57:55,order,U465151118,P0018706250032,1,1422.0
89,2015-07-01 00:58:24,order,U465147256,P0003835856,1,290.0
90,2015-07-01 00:59:16,order,U465150411,P0007371652,3,119.0
91,2015-07-01 00:59:47,order,U1002870385,P0004284685,1,5250.0
92,2015-07-01 00:59:47,order,U465115850,P0014303284,1,499.0
93,2015-07-01 01:00:53,order,U465150916,P0023959890043,1,605.0
94,2015-07-01 01:02:14,order,U185124713,P0023724850015,1,4800.0
95,2015-07-01 01:03:06,order,U331352359,P0005680264,1,1199.0
96,2015-07-01 01:07:12,order,U10120158826,P0022016046,1,1099.0
97,2015-07-01 01:07:24,order,U463095016,P0005924494,1,838.0
98,2015-07-01 01:07:55,order,U185124713,P0023724850041,1,4800.0
99,2015-07-01 01:08:15,order,U456915350,P0018652690,1,3980.0
100,2015-07-01 01:09:48,order,U1002870385,P0005841124,1,1490.0
101,2015-07-01 01:10:32,order,U465151017,P0006247496,1,2699.0
102,2015-07-01 01:11:02,order,U10057568354,P0014460250055,1,1332.0
103,2015-07-01 01:13:19,order,U21807973,P0014596783,1,4100.0
104,2015-07-01 01:13:30,order,U185124713,P0023724850030,1,4800.0
105,2015-07-01 01:14:49,order,U200694113,P0002089650006,1,3390.0
106,2015-07-01 01:14:58,order,U465154350,P0004519852,1,699.0
107,2015-07-01 01:16:21,order,U465156471,P0007566860,1,2280.0
108,2015-07-01 01:16:44,order,U465144327,P0012242731,1,
109,2015-07-01 01:16:52,order,U364078470,P0005634683,1,920.0
110,2015-07-01 01:17:47,order,U148473218,P0023907726,1,5990.0
111,2015-07-01 01:18:10,order,U465156471,P0015194056,1,1080.0
112,2015-07-01 01:18:47,order,U402552643,P0003608872,1,650.0
113,2015-07-01 01:20:18,order,U465156370,P0009413482,1,888.0
114,2015-07-01 01:20:52,order,U292737263,P0007258123,1,3690.0
115,2015-07-01 01:23:35,order,U42299994,P0000341073,1,1650.0
116,2015-07-01 01:24:22,order,U292737263,P0003014476,1,198.0
117,2015-07-01 01:24:48,order,U465150815,P0022903311,1,599.0
118,2015-07-01 01:24:57,order,U207390564,P0007267735,1,639.0
119,2015-07-01 01:26:37,order,U464958517,P0013003362,1,799.0
120,2015-07-01 01:26:53,order,U465150815,P0001888460,2,260.0
121,2015-07-01 01:29:38,order,U442736519,P0002721084,1,588.0
