Date,Open,High,Low,Close,Volume,Adj Close
2014/8/14,123.5,124,123,124,32907000,124
2014/8/13,121,123.5,120.5,122.5,39756000,122.5
2014/8/12,121,122,120.5,121.5,32237000,121.5
2014/8/11,120,121,119.5,120.5,42890000,120.5
2014/8/8,120.5,121,119.5,120.5,35075000,120.5
2014/8/7,120.5,121.5,119.5,121.5,29493000,121.5
2014/8/6,119,121.5,119,120.5,34561000,120.5
2014/8/5,122.5,122.5,119.5,119.5,61184000,119.5
2014/8/4,120,123.5,120,123.5,39633000,123.5
2014/8/1,120,121,119.5,120,52455000,120
2014/7/31,124,124,121,121,44748000,121
2014/7/30,123.5,125,123,124.5,32381000,124.5
2014/7/29,122.5,124,122,124,37994000,124
2014/7/28,122,122.5,121,121.5,43425000,121.5
2014/7/25,124.5,125,122.5,123,31299000,123
2014/7/24,124.5,125,124,125,65602000,125
2014/7/23,124.5,124.5,124.5,124.5,0,124.5
2014/7/22,123.5,125,122.5,124.5,53220000,124.5
2014/7/21,124,124.5,122.5,123.5,56612000,123.5
2014/7/18,121.5,124,121.5,123.5,95711000,123.5
2014/7/17,125,125.5,123,124.5,136198000,124.5
2014/7/16,133,133.5,130,130.5,39065000,130.5
2014/7/15,133,134,132.5,133,36989000,133
2014/7/14,134.5,134.5,132.5,132.5,46321000,132.5
2014/7/11,136,138,135.5,136.5,43144000,134.1
2014/7/10,134.5,136,134.5,134.5,47098000,132.14
2014/7/9,133.5,135,133.5,134,39145000,131.64
2014/7/8,135.5,136,134,134.5,36117000,132.14
2014/7/7,134.5,136,132.5,136,32123000,133.61
2014/7/4,133.5,136,132,135,44006000,132.63
2014/7/3,131.5,135,130.5,134.5,40176000,132.14
2014/7/2,129.5,132.5,129,132.5,51457000,130.17
2014/7/1,126.5,128.5,126,128,32922000,125.75
2014/6/30,126,127,125,126.5,33280000,124.28
2014/6/27,125,126.5,124,125.5,44396000,123.29
2014/6/26,124.5,125,123.5,124.5,30279000,122.31
2014/6/25,123,124.5,123,123.5,30757000,121.33
2014/6/24,123,123.5,122,123,33225000,120.84
2014/6/23,125,125.5,123,123,25096000,120.84
