title,date,category,view_count,content
白冰冰子弟兵玩飛鏢　險變花癡,2016年04月05日22:47,娛樂,0,白冰冰的子弟兵甜心寶貝ICE LADY少女團體日前擔任「第11屆中華民國全國飛鏢公開賽」開場佳賓，一上場就熱歌勁舞唱起《關掉腦袋》，立刻high翻現埸。團員焦可可、齊婕、丁妤看到現場帥哥美女好手，直說今天賺到了，焦可可更精準地搜尋韓國好手，「最近剛看韓劇《太陽的後裔》迷上宋仲基，希望幫韓國選手加油。」學體育的齊婕聽說日本第一神鏢手來現場，立刻變身以專業姿態，請教專業的飛鏢技術，順便占了貼身近距離偶像的便宜。丁妤則笑說：「台灣男孩還是最帥的，現場最多了，何必你爭我奪搶少數外國貨呢！」最後ICE LADY開心表示：「今天他們選手現場是射飛鏢比賽，我們是來比賽射中他們小鹿亂撞的心啦！」(蔡維歆／台北報導)
【更新】歸寧宴食物中毒　180人上吐下瀉,2016年04月05日22:45,生活,16681,"【更新】歸寧宴食物中毒　180人上吐下瀉,2016年04月05日22:45,生活,16681,（更新：新增業者說法）台南市林姓市民上個月13日到安平區東東宴會式場，席開36桌舉辦女兒歸寧宴。晚宴結束，180名客人疑因吃了不潔食物，出現上吐下瀉的食物中毒現象，其中40人還到醫院吊點滴。林姓市民希望業者賠償每名客人2000元，但業者認為對方獅子大開口，斷然拒絕，雙方將訴請消保官仲裁。台南市衛生局表示，該案是上月13日晚宴，14日凌晨出現客人身體不適，但遲至16日才接獲市民投訴，稽查員到東東廳瞭解，已經沒有當晚食材檢體，就連病患檢體也沒有，目前只能依照40人的就醫診斷證明，判定是食物中毒。林姓市民說，業者事發後的態度還算誠懇，她希望業者可對每名客人賠償2000元，但業者不能接受。她認為，眾人開心地參加晚宴，卻碰到食物不潔，有人上吐下瀉，有人到醫院吊點滴，如今又碰到業者爛，覺得很難面對自家親戚。東東集團公關副總林佳樺說，食物中毒是在飲後2到8小時發作，但林姓市民的客人是在一天後才有病狀，且部分客人疑似感染諾羅病毒，不能把所有責任都歸到廳。林佳樺說，林姓市民要求180名賓客，一人2000元慰問金，要支付總計36萬元，集團高層覺得金額太高，無法接受。她說，集團最後決定只要林姓市民拿出就醫證明，集團支付2000元慰問金，林姓市民拿出的40張單據，只有2張醫院證明，其他都是掛號單據，資料不齊全，廳將請消保官仲裁。（辛啟松／台南報導）出版時間：19:05更新時間：22:45"
凡爾賽宮改建飯店　2018年開幕,2016年04月05日22:45,國際,40,法國上周宣布將把部分凡爾賽宮，改建成豪華飯店和米其林三星名廚杜卡斯掌廚的高級法國廳，預定2018年營業，不過，飯店僅有20間房，房價預料不會太親民。法國凡爾賽宮在1682年至1789年是法國的王宮，當時是歐洲最雄偉豪華的宮殿，現在每年吸引1400萬遊客造訪。凡爾賽宮左側3棟建築從2008年後閒置至今，理事會決定出租拓展財源，吸引20個法國和外國飯店集團競標，上周確定由法國洛夫集團（LOV Group）旗下豪華連鎖飯店得標，將以每年100萬歐元（約3681萬台幣）承租，另外還得拿出2500萬歐元（約9億台幣）進行修繕，改建成僅有20間客房的高級飯店，部分房間陽台可眺望美麗的橘園，地下室還要游泳池。至於有業者建議凡爾賽宮提供17世紀服裝租借服務，讓遊客換裝拍照留念，畢嘉果斷拒絕：「我們不打算讓凡爾賽宮變成迪士尼樂園。」（陳怡妏／綜合外電報導）
【法廣RFI】陸網紅鳳姐因受美媒專訪遭環時炮轟,2016年04月05日22:44,國際,14,本內容由法廣中文部提供“鳳姐” 是誰，其實她就是那個六年前在上海街頭公開徵婚，表示非北大清華碩士生不嫁的，來自重慶一個小縣城的農家女羅玉鳳。為此，她曾遭受過不少的挖苦、諷刺、詆毀和調侃。如今，“鳳姐”這個幾年來一直在美國社會最底層打拚的中國網紅，只是因為接受了美國媒體的專訪，便遭到《環球時報》的猛烈批判。更多近日，羅玉鳳在接受美國之音專訪時表示，不管是女人還是男人，靈魂應該是平等的，不能夠因為她生在農村，沒有高學歷，長得醜就沒有追求高富帥的權利。但在中國卻有很多自詡為道德楷模的人，一直都在嘲笑她，這讓羅玉鳳感覺自己受到了莫大的侮辱。“事實上我是一個失敗者。雖然我提出人人平等的想法，但是沒有實現。我反而成為了一個反面的、醜陋的形象”。“不管我有沒有結婚生子，不管我過得好與不好，我都會為中國以及美國人權努力。這就是我的希望”。但《環球時報》卻認為，“鳳姐”接受外媒的採訪，是為了表達自己在美國有多麼的成，多麼的了不起，是為了能夠留在美國，便對中國進行無下限的攻擊。《環球時報》認為，如果羅玉鳳當初繼續在國內努力工作幾年，那麼，在上海那樣一個充滿機會的大城市，她又怎麼會沒有一個不錯的出路呢？作者評論楊濤今天（4月5日）的文章說，《環球時報》的這個說法雖然看起來說的非常有道理，可是我們別忘了在中國的一線城市，特別是北上廣深這樣的特大城市，普通人要想獲得成的機會簡直就是天方夜譚。比不了那些有爹靠爹、沒爹靠乾爹的同齡人，平常百姓要想成，除非拋棄自尊、死不要臉的蹬鼻子上位，甚至是“一絲不掛”地進步才有可能。作者南京龍的文章說，羅玉鳳僅僅嚮往一種被平等看待的生活方式，成為網絡名人之後 ，目前已經擁有551萬新浪微博粉絲。不過她認為名氣並沒有給她的實際生活帶來好處，反而遭到對其身高、外貌、職業、出身的貶損。羅玉鳳相信，“我是正確的，嘲笑我的人都錯了”。 她的要求並不高，她也很清醒。但《環球時報》在炮轟羅玉鳳這種直白的平等觀念時，卻暴露了十足的既得利益者的醜惡嘴臉。《環球時報》說：從2010年底到今天，在這近6年的時間裡，鳳姐一直只是混跡在美國社會的底層，從當年中國上海的售貨員，成為了如今紐約街頭的美甲店的小工。如果這也叫“成”的話，那這就是在侮辱“成”這倆字……。按環時的標準，售貨員，美甲店小工就不是成人士該干的，在環時眼裡，做一個普通勞動者就是失敗。這難道就是區別於資本主義的社會主義價值觀嗎？怪不得《環球時報》極力反對普世價值，原來根子就在這裡啊。平等、自由、公正只是放在嘴上，口號上，裝點門面時用用，一遇具體問題，歧視勞動，歧視底層人民的嘴臉便暴露無遺。那麼，羅玉鳳親近美國而疏遠中國大陸的理由就很充分了，誰會愛一個自己被歧視的國家呢？綜上所述，有網友點評說，看了昨天晚上網易的評論，竟然有三十萬網友評論此文，環球被網友炮轟！（網友！）鳳姐的中國夢在美國實現了，讓《環球時報》的主子不爽了，所以狗奴才跳將出來吠兩聲已證其忠誠，犯的著這樣不依不饒的嗎（網友淘井一郎）？你一無權無勢社會底層的打工妹，跑來美國和富二代官二代紅二代一樣享受藍天白雲，民主自由，當然讓一些心理陰暗的小人和趙家奴才感到不爽（網友梅森）。說真話，實話，成了負能量！昧著良心說話，成了主弦律，正能力。（網友北島）最起碼，“鳳姐”說真話、說人話。比那份混球報紙強一百套。歧視底層、弱勢、殘疾等現象是可恥的。鳳姐追求平等、人權是對的，比很多所謂的精英、舔痣者好的太多了（網友曉辛）。混球通篇文章的意思就是“我們沒歧視你”，但是一張口就把鳳姐定義為 “美國社會的底層”——這本身不就是歧視？你把人分成等級的思維難道不是為鳳姐說自己被歧視做了一個證明？你們真是笨到無與倫比了！（網友石人眼）(周西/法廣北京特約記者報導）羅玉風生活在平等，自由，公正的環境中，靠著自已雙手爭得一份工作，養活自已，難道還值得批判嗎（網友薔薇）? 鳳姐沒偷沒搶，自食其力，能有今天的生活很了不起，是下層民眾尋找生活出路的一個樣板。官媒就別再騙我們了（網友元芳）。博主說的好！羅玉鳳沒有紅色基因，也無父母提供貪腐的美金，完全依靠自己的努力生存，說些自己的感受何罪之有？（網友稀里糊塗先生）羅玉鳳模樣差是客觀存在，智商高也是客觀存在。她終於追求到了平等，真正找到了自信，只是可嘆這種追求在異國他鄉才得以實現（網友對對對）。我周圍的人大多是讚揚鳳姐，認為她能吃苦，說真話，是好樣的，我估計中國百姓70%是贊同鳳姐的，我的估計不誇張吧？（網友遊客）
《南早》今開放免費讀　馬雲：服務不打折,2016年04月05日22:38,國際,346,阿里巴巴收購香港《南華早報》後，從今天傍晚起正式進入免費時代，以後大家用手機、上網看報，可以免費讀所有文章。《南早》傍晚在網路上宣佈此消息，文章同時引述阿里巴巴公司董事局主席馬雲聲明，免費服務不代表廉價服務，《南早》今後會提供免費但有品質的服務給讀者，正如當年淘寶起家時，也是向買賣家提供免費服務，但最終靠服務取勝。馬雲說，有信心《南早》將會保持開放態度、擁抱改變，並會找到對的營運模式，讓集團可以賺錢。《南早》總編輯譚衛兒說，隨著《南早》不再收費，將代表該報的全球讀者群將會增加，又稱中國在世界政經舞台上扮演越來越重要的角色，全球關心中國人，也要求新聞、評論更可信、更有洞察力。（國際中心／綜合外電報導）跟上國際脈動，快來蘋果繞著地球爆按讚
佼佼代言眼鏡　一人搞分身,2016年04月05日22:35,娛樂,375,黃子佼（佼佼）日前接下寶島眼鏡廣告，隨著年紀邁向大叔，他不只是近視，甚至有閃光與老花，他透露去年一度想去做雷射，經過多方評估，即使連詢價都做了，卻還是打退堂鼓，雖然回家後拿下隱形眼鏡，戴上眼鏡並長期使用3C產品也頗為吃力，但也將就到現在，沒想到因此得到眼鏡代言。廣告中他換兩種造型跟自己對話，一個是年輕小佼，一個是中年大佼，工作人員都驚訝的發現演老佼的佼佼熟男味十足，但當他一換上小佼造型服，帽子一戴潮衣一穿，又彷彿逆齡，讓所有人嘆為觀止。他表示：「以前演短劇忽男忽女很過癮，這幾年短劇演得少，在廣告裡演得很過癮！」(蔡維歆／台北報導)
目睹貧童慘況　薩克柏妻開辦免費小學,2016年04月05日22:31,國際,1593,臉書創辦人薩克柏之妻普莉希拉陳熱衷慈善活動，尤其關注兒童醫療及教育問題。去年10月她與丈夫宣布將在加州的貧窮區開辦私人小學。近日她接受訪問時首次透露辦學初衷，是因曾目睹貧困孩童們悲慘的困境，令人心碎的經歷讓她決定花大錢籌建免費小學，保障兒童受教權。這所免費小學將在秋天開辦。普莉希拉陳與薩克柏計劃在加州東帕洛阿爾托市（East Palo Alto）開設免費私校，結合教育及醫療服務，今年秋天將先開辦兩班嬰幼兒班與一班學前班，之後每年增加一個年級，到八年級為止，每班學生人數最多50人。此城市雖鄰近臉書總部高所得的豪宅區，但充斥著犯罪和幫派衝突，居民生活貧困。薩克柏夫婦拒絕透露共投入多少資金辦校，外界預估至少有上百萬美元（至少3200萬元台幣）。普利希拉陳先前表示，生了女兒麥絲後，她更加重視兒童教育，明白父母想給孩子最好教育的想法。她和薩克柏先前已捐近40億元台幣給舊金山灣區的弱勢學區，改善教育問題。（張渝萍／綜合外電報導）
雅加達機場客機互撞　機翼起火,2016年04月05日22:28,國際,2301,印尼雅加達機場昨晚有兩架客機擦撞，機翼起火毀損。英國廣播公司報導，當時巴提克航空（Batik Air）正要起飛，其機翼擦撞到正被拖過跑道的TransNusa客機，兩架客機都無人受傷，但客機機翼與尾翼受損嚴重。巴提克航空公司發言人表示，機長發現機翼受損後立刻放棄起飛。網路影片可見客機機翼起火後，消防車趕到現場滅火。（余浚安／綜合外電報導）跟上國際脈動，快來蘋果繞著地球爆按讚 翻攝twitter翻攝twitter
槽車行駛台64線突起火　警消灌救已撲滅　,2016年04月05日22:26,社會,3959,(更新：照片)一輛空的槽車今天晚間10時行駛台64線八里往五股方向，在接近觀音隧道前輪胎突然起火，駕駛發現趕緊開下交流道，警消獲報趕赴救援，已初步控制火勢，所幸沒有造成傷亡。（突發中心／新北報導）發稿時間2210更新時間2226 現場槽車輪胎起火。翻攝畫面
【公庫】文明與瘋狂，只隔一片蛋殼薄的牆,2016年04月05日22:24,論壇,374,本內容由公庫提供文 / 葉秉憲(國立東華大學諮商與臨床心理學系碩士生)並非社會上的每一個人，都有機會很靠近的跟精神障礙的人相處，尤其當我們總是劃定界線把彼此分離開來，這樣的世界對我們自己來說相當安全，只需要跟自己認可「是人」的人相處。但這兩個世界真的有距離如此遙遠嗎？最近充滿衝擊性的社會事件，讓我們發現，我們所處的文明世界跟瘋狂世界的間隔，只有一片蛋殼薄的牆，很輕易的就會粉碎。這個世界裡，最可怕的事情，是我們如何看待瘋狂的方式。今日，我們因為自己的擔心與害怕，而選擇不合理地囚禁他人的瘋狂；明日，我們要如何能確定自己，或者我們所愛之人的瘋狂將如何被對待？....（讀全文）
