"","title","article","dt","clicked","category"
"1","國民登頂　連3次偶數年國聯東區奪冠","【更新：新增影片】近況不佳的國民隊，今天終於時來運轉，靠著第3任投手羅培茲(Reynaldo Lopez)臨危受命，撐了5.1局無失分，以6比1力克海盜，再拜大都會以8比10輸給費城人之賜，魔術數字一下子從2減到0，奪下國聯東區冠軍。這是國民隊近5年來第3次拿下國聯東區第一，且剛好是偶數年的2012、14和16年，不過前兩次都在被看好之下，於第一輪的國聯分區季後賽就遭到淘汰。長期在分區位居龍頭的國民，近況並不理想，過去6場就輸了5場，再加上大都會近來表現不錯，魔術數字遞減得非常慢，今天開賽也不是那麼順，先發投手羅斯(Joe Ross)只投了2.2局被敲5安打，失1分就退場，今年表現好壞落差大的菜鳥投手羅培茲在4局起登板，一直投到9局下1出局後才退場，5.1局只被敲3安打，投出2次四壞和6次三振，無失分，不但守住勝利，也減少牛棚消耗量，個人拿下第4勝。國民頭號強打哈潑(Bryce Harper)今天敲勝利打點、包辦2打點，成了勝利英雄之一，但兩度攻下分數都不是靠安打，1局上敲高飛犧牲打，4局下擊出滾地球造成失誤，全隊也沒有全壘打，但敲了12安，靠團隊戰力拿下一場關鍵勝利。(謝岱穎／綜合報導)發稿時間：11:06更新時間：16:08<U+00A0> 國民分區封王，賽後全隊在休息室開香檳慶祝。法新社國民5年內3度奪得國聯東區冠軍。取自國民推特國民沃斯(Jayson Werth)回壘得分，和隊友擊掌慶祝。法新社",2016-09-25 16:09:00,5398,"體育"
"2","美國能源效率教父羅森費爾德　唐獎永續獎得主  ","2016年唐獎永續發展獎得主是亞瑟．羅森費爾德，曾為美國勞倫斯柏克萊國家實驗室能源科技中心副主任，以及加州大學柏克萊分校土木及環境工程系教授，他畢生從事能源使用效率的開拓型創新，使得全球能源消耗及溫室氣體排放大幅減少，被尊稱為「能源效率教父」。今年90歲的羅森費爾德因健康因素未親自出席領獎，由其門生、現任勞倫斯柏克萊國家實驗室能源科技中心負責人阿胥侯．卡吉爾博士(Dr. Ashok Gadgil) 代為領獎，並由前中研院長李遠哲頒獎。羅森費爾德透過事前錄影方式發表感言表示，獲得唐獎是他莫大榮譽，非常謝謝唐獎基金會體諒他身體不便遠行而由阿胥侯．卡吉爾代表領獎；他費盡力氣在鏡頭前說話，令人動容。第二屆唐獎生技醫藥獎由德國學者伊曼紐．夏彭提耶（Emmanuelle Charpentier)、美國加州柏克萊大學珍妮佛．道納（Jennifer A. Doudna）及麻省理工學院研究員張鋒共同獲得，他們在 CRISPR╱Cas9基因編輯技術上的貢獻，將大幅改革生醫研究與疾病治療的策略，極具治療人類疾病的潛力。中央研究院院士龔行健形容，人體基因就像有30億顆珍珠的項鍊，而基因體編輯功能就像是找出其中壞掉的珍珠並用剪刀將它剪掉，並換上好的珍珠，而三位旋者開發的CRISPR╱Cas9平台，編輯基因體的效率與精準度都是空前的，將能帶動基因體編輯革命。該獎項由2001年諾貝爾獎得主野依良治頒發。夏彭提耶表示，感謝評審委員肯定CRISPR╱Cas9的貢獻，也希望能夠進一步了解生命奧秘，並繼續在微生物學領域貢獻心力。道納表示，今天的成就是集結了研究室中所有同事的力量，唐獎是給大家的肯定，也是認可了基礎研究的重要性。張鋒則說，以謙卑的心情接受這個獎項，而我們是站在巨人的肩膀上來進行研究，唐獎的肯定是集結了過去眾人研究的成果。（劉嘉韻╱台北報導）<U+00A0>",2016-09-25 16:08:00,0,"生活"
"3","輔大「公審」10萬字全文曝光　網友分析鬥爭18招","輔仁大學性侵案引發關注，而今年6月時輔大心理系針對該案召開「討論會」，邀請各界師生、被害女同學及男友等參與，結果卻形同「公審」檢討被害人，對被害人造成二度傷害，現在有網友po出了當時會議紀錄的10萬字逐字稿，揭露完整情況。網友在「對不起，我就是站在受害者的位子上」臉書活動中分享了6月7日討論會的逐字稿全文及摘錄版，這場討論會被害女生幾度崩潰，一名女工作小組人員竟還說：「說受傷是真的，我相信那是真的，但是這個版本要怎麼還原也有可能當時你們是誤讀呀！」女學生哭喊，「這個感覺的東西，怎麼會有版本的問題呢？」，沒想到竟被時任輔大心理系主任何東洪回嗆：「不要用這種語調好不好」。而還有網友解析了討論會中的「鬥爭手法」，並標誌出對照全文的頁次，網友批評，何東洪主持討論會明顯偏頗，而之後夏林清和其團隊則連番追打：1.下馬威(P6)2.濫用裁量權(P11-13)3.排除他者(P13-15)4.偷渡資訊(P22-25)5.攻擊代替防守(P35-38)6.技術干擾(P44、51-52、56)7.被攻擊時拖延議程(P56)8.對方鬆口時加緊攻擊(P65-66、76、95、108、141、156、221)9.我方認錯時轉移話題(P68-70)10.黑臉白臉(P81-82、113-119)11.鞏固成果(P97-100、112-114、121-124、129)12.玩弄名詞(P102-106)13.Reset議程(P107)14.Reset對立關係(P133-135)15.貍貓換太子(P139-169、154-155)16.假動作(P173-186)17.上籃得分(P186-197)18.乘勝追擊(P197-224)（即時新聞中心／綜合報導）",2016-09-25 16:07:00,0,"生活"
"4","香奈兒女郎撞場了！妹腰露得多已大勝","（新增影片）26歲「暮光女」克莉絲汀史都華（Kristen Stewart）和17歲莉莉蘿絲（Lily Rose）是精品CHANEL（香奈兒）力捧女星，前晚她倆一起在洛杉磯出席N°5 L'EAU香水上市慶祝活動，莉莉蘿絲是新香代言人，在晚宴上就像主人四處打招呼。她倆應媒體要求合影時，克莉絲汀史都華很有「姊」的大器風範，大方伸手勾著莉莉蘿絲的肩膀拍照，還為她比出大拇指按讚手勢。兩人都是一身CHANEL露腰造型，莉莉蘿絲選穿2016秋冬高級訂製服的金絲縷短版外套，中空露出小蠻腰的範圍遠勝前輩，且她未搭內裡更顯性感，她笑說：「這大概是我最冒險的一次時尚挑戰，但我們巧妙有縫起中間，應該沒問題！」（陳意佳／綜合報導）出版時間：10:15更新時間：16:04 莉莉蘿絲穿CHANEL 2016秋冬高訂服的小外套，中空露蠻腰。翻攝lily rose IG莉莉蘿絲（左）和克莉絲汀史都華前晚一起出席香奈兒香水活動。翻攝fashiontomax IG莉莉蘿絲在香水活動上像主人四處招呼賓客。翻攝thefashioncodebyannie IG莉莉蘿絲代言N°5 L'EAU香水，100ml／5600元。翻攝Lily Rose IG",2016-09-25 16:04:00,5032,"時尚"
"5","<U+200B>北市2人怒辭官　皆因柯P執意讓她復職","中山國中前教師蕭曉玲9年前遭解聘，台北市長柯文哲責成教育局撤銷原解聘處分，還要補發蕭女9年薪水約4、5百萬元。此事引發外界諸多批評，傳北市法務局長楊芳玲、教育局長湯志民接連請辭，也與蕭曉玲復職案有關。（即時新聞中心／綜合報導）原因：蕭曉玲解聘案　北市教育局撤銷原解聘函台北市教育局2016年09月21日宣布，中山國中前教師蕭曉玲之解聘案，教育局基於原處分不當，撤銷原核准解聘函，代表解聘處分自始無效，教育局將協調安置蕭師復職，並補發自2008年解聘以來的本俸。北市中山國中前音樂教師蕭曉玲，因控告時任市長的郝龍斌推行一綱一本政策剝奪教師選書權，後遭校方以接獲投訴教學不力、有損師道為由解聘。蕭雖不服解聘提起的行政訴訟敗訴定讞，但北市廉政會建議撤銷解聘處分，監察院也認為調查程序有瑕疵。http://www.appledaily.com.tw/realtimenews/article/life/20160921/953188<U+00A0>爭議：回聘女教師還補百萬薪　柯文哲挨告中山國中前音樂教師蕭曉玲9年前因上課僅播放錄影帶、還辱罵學生等行為，被校方以行為不檢有損師道為由解聘，蕭女雖打行政訴訟爭權益，但最高行政法院仍認定校方解聘有理，判蕭女敗訴定讞，但台北市長柯文哲卻依照監察院的糾正文及市府廉委會的聽證會，責成教育局撤銷原解聘處分，還要補發蕭女9年薪水約4、5百萬元，台北市議員鍾小平認為柯文哲膽大妄為、違法亂紀，2016年09月22日前往台北地檢署控告柯P及台北市教育局長湯志民瀆職、圖利。http://www.appledaily.com.tw/realtimenews/article/local/20160922/953730<U+00A0>影響一：姚立明爆料　妻楊芳玲因蕭曉玲案辭官台北市法務局長楊芳玲2016年09月19日請辭並發公開信，自稱很遺憾在許多個案被理解成有礙台北市長柯文哲效率、對抗柯，若不能認同長官理念，政務官本應知所進退。國會觀察基金會董事長姚立明22日爆料，他太太楊芳玲請辭主因，就是中山國中教師蕭曉玲復職案。楊堅持撤銷蕭解聘案要有法律理由，不能用政治手段讓蕭復職，但有人講「妳煩不煩啊」，讓太太決心請辭。http://www.appledaily.com.tw/appledaily/article/headline/20160923/37392410 <U+00A0>影響二：疑蕭曉玲案爭議　北市教育局長湯志民請辭繼北市法務局局長楊芳玲前幾天辭職後，教育局局長湯志民也請辭。北市教育局人員證實此事，並表示湯做到10月1日。北市府幕僚指湯是在上周議會總質詢後向柯遞辭呈，但柯文哲尚未批准。據了解，北市府在處理中山國中前教師蕭曉玲遭解聘案時，因與教育局見解不同，市府高層就對局方有意見，但此原因未獲證實。http://www.appledaily.com.tw/realtimenews/article/life/20160925/955635 【想知道更多，一定要看……】【有片】官員折損快　柯Ｐ：郝4年內走24個官疑蕭曉玲案爭議　北市教育局局長湯志民請辭湯志民公開信　稱完成「階段性大工作」",2016-09-25 16:04:00,409,"政治"
"6","連珠砲辱警「臭屁、刁鑽」　男子拘役40天","基市陳姓男子今年2月間，併排停車不聽警員勸導離開，警員要求查看証件準備開單，陳男竟惱羞成怒，像連珠砲式連串侮辱員警「你在臭屁什麼，臭屁、臭屁，我沒看過這麼刁、刁鑽的警察，臭屁什麼」，當場侮辱值勤警員，被檢方依妨害公務罪嫌起訴。法官參考教育部臺灣常用詞辭典，「臭屁」係形容人喜歡誇大炫耀，自以為是的樣子，「刁」係指狡猾、狡詐，「刁鑽」係指奸詐、狡猾，法官認為，陳男大聲接續辱罵警員，足使警員感到難堪與屈辱，判拘役40天，可易科罰金4萬元。（突發中心蔡進男／基隆報導）",2016-09-25 16:03:00,25,"社會"
"7","【有片】官員折損快　柯Ｐ：郝4年內走24個官","（更新：增加影片）北市府繼法務局長楊芳玲請辭後，今換成教育局長湯志民請辭，媒體今詢問台北市長柯文哲，是否有反省過為何大家都不願意跟他做事，柯表示他有去調資料，前市長郝龍斌在4年內換了24個官員，有時政務官來來去去，甚至升官，像官員有更好的發展，升官去中央，也不能攔截。媒體追問柯，是否覺得自己沒有問題，柯表示這跟離婚一樣，沒有對錯，只有適合或不適合的問題。（張博亭／台北報導）出版：15:47更新：16:02 【想知道更多，一定要看……】官員折損快　柯Ｐ：郝4年內走24個官一張表看柯市府出走首長數　已達13人台北市長柯文哲。劉耿豪攝",2016-09-25 16:02:00,1029,"生活"
"8","【有片】世大運影片抄日本樂團MV　柯P：請觀傳局處理","（更新：增加影片）台北市政府宣傳世大運的影片爆出抄襲日本樂團MV，遭網友批丟臉。台北市長柯文哲今受訪時表示，他還沒看到影片，會請觀光傳播局去處理。柯並說案子很多，突然被媒體問，他也不曉得。（張博亭／台北報導）出版：15:48更新：16:02 【想知道更多，一定要看……】【更新】北市府世大運影片　爆疑抄日本樂團台北市政府宣傳世大運影片爆出抄襲日本樂團MV。市長柯文哲今說，會請觀傳局處理。劉耿豪攝",2016-09-25 16:02:00,487,"生活"
"9","梅姬颱風逼近　農民預防性採收","（更新：新增影片）中度颱風梅姬對台灣威脅大，國內蔬菜主要產區的雲林地區，今日菜農一早就忙著做預防性採收蔬菜，林姓菜農表示，葉菜類蔬菜最怕被風颳過，強風吹襲後會呈現委凋，農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。今天適逢週日西螺果菜市場休市，未進行蔬菜交易，受到風預期心理影響，還是有許多蔬菜盤商直接到產地田間採購批發蔬菜。張姓盤商說，假日傳統市場、黃昏市場蔬菜攤商未休市，零售需求未減，加上颱風進逼，葉菜類蔬菜已經稍漲，預計明天果菜市場開市拍賣，蔬菜交易價格恐會漲更多。今日西螺果菜市場休市日，未進行場內交易，場外葉菜類蔬菜交易價每公斤小白菜32元、青江菜30元、芥藍菜 37元、油菜30元、蚵白35元、空心菜45元至60元間。（李政遠／雲林報導）出版時間：13:07更新時間：16:00 蔬菜盤商直接到產地田間採購批發蔬菜。李政遠攝農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。蔬菜盤商直接到產地田間採購批發蔬菜。李政遠攝農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。",2016-09-25 16:00:00,1656,"生活"
"10","韓國女子團體EXID抵台　歌迷熱情迎接","韓國女子團體EXID今中午抵台，5名成員下機後展現相當親和力，頻對大家揮手致意。有近2百名歌迷在桃園機場二航廈入境大廳迎接，她們一走出入境大門，歌迷呼叫自己偶像名字聲此起彼落，不少人蜂擁而上要拍照，現場秩序頓時大亂，保全人員護著五人沿著牆邊慢慢走機場。（突發中心吳詠平／桃園報導）<U+00A0> EXID抵台。吳詠平攝EXID抵台。吳詠平攝歌迷在入境大廳等候。吳詠平攝現場大批歌迷迎接團員很享受。吳詠平攝被迫沿著牆邊走。吳詠平攝工作人員護著五人前進。吳詠平攝",2016-09-25 16:00:00,20,"娛樂"
